,name,f0,f1,type
594,A594,-0.29840234212921946,1.0,A
595,A595,-0.5123892426660441,1.0,A
596,A596,-0.6956621873990289,1.0,A
597,A597,-0.35323153762399917,1.0,A
598,A598,-0.4225605752976199,1.0,A
599,A599,-0.40202143608994345,1.0,A
600,A600,-0.5491266059460469,1.0,A
601,A601,-0.3100440305544393,1.0,A
602,A602,-0.37802863007353993,1.0,A
603,A603,-0.527583050186666,1.0,A
604,A604,-0.3259099813646792,1.0,A
605,A605,-0.2317578901793358,0.2184986022370099,A
606,A606,-0.29113467439737895,1.0,A
607,A607,-0.2591054503628969,1.0,A
608,A608,-0.15601665065266523,1.0,A
609,A609,-0.0348036952226346,1.0,A
610,A610,0.05805098064072256,1.0,A
611,A611,0.6306541336582676,0.5138200798061883,A
612,A612,-0.34921399545286635,1.0,A
613,A613,-0.26457120511353727,0.48975140826935126,A
614,A614,-0.5342484125288852,1.0,A
615,A615,0.9175116512813755,-0.9327371656454566,A
616,A616,0.8714482572026128,-0.7492257706333696,A
617,A617,1.0,-1.0,A
618,A618,0.9892186931821763,-0.9382030035879413,A
619,A619,0.6118667872311421,0.6465252148392624,A
620,A620,0.9569389339763923,-0.8533248165189136,A
621,A621,1.0,-1.0,A
622,A622,1.0,-1.0,A
623,A623,1.0,-1.0,A
624,A624,1.0,-1.0,A
625,A625,1.0,-1.0,A
626,A626,1.0,-1.0,A
627,A627,1.0,-1.0,A
628,A628,-0.45146826902122095,1.0,A
629,A629,-0.35111913239306325,0.9569590802103376,A
630,A630,-0.45350671534962417,1.0,A
631,A631,-0.31211496266709227,1.0,A
632,A632,0.33864371668422755,0.3530343999829675,A
633,A633,0.2016236318954414,1.0,A
634,A634,-0.28366304737517667,1.0,A
635,A635,0.07841219756423268,1.0,A
636,A636,0.02200861734190407,1.0,A
637,A637,-0.31860635109019486,1.0,A
638,A638,-0.11740474544524304,1.0,A
639,A639,-0.2758134837084619,1.0,A
640,A640,0.07417492986984309,1.0,A
641,A641,0.3422129771129925,1.0,A
642,A642,-0.23584997223165205,1.0,A
643,A643,-0.002219309436893413,1.0,A
644,A644,-0.34639877044443856,0.8158649408633092,A
645,A645,0.1507253312425274,1.0,A
646,A646,-0.41815862664979586,1.0,A
647,A647,-0.1310632970761917,1.0,A
648,A648,-0.10972107614245163,1.0,A
649,A649,-0.454420466723518,1.0,A
650,A650,-0.2624940061271599,1.0,A
651,A651,-0.3155159824860734,1.0,A
652,A652,-0.5073421112948804,1.0,A
653,A653,-0.31057424217201635,1.0,A
654,A654,-0.21142303394559425,1.0,A
655,A655,-0.2238052158910916,1.0,A
656,A656,-0.32905700907593693,1.0,A
657,A657,-0.1427882725396924,1.0,A
658,A658,-0.5388527744748692,1.0,A
659,A659,-0.5290076417411328,1.0,A
660,A660,-0.19835591201417735,0.9712911896043326,A
661,A661,-0.8696418432094075,1.0,A
662,A662,-0.5140337968626363,1.0,A
663,A663,-0.9151738555767214,1.0,A
664,A664,-0.47669696064450984,1.0,A
